participant,slide,order,grade,probCC,probHCC,diag,gt,name,type,mode,accuracy,errortype,errormodel
P10Test1_02152019,slide1.9,1,2,0,1,1,1,None-GI Specialist 1,2,1,1,0,0
P10Test1_02152019,slide1.9,1,2,0,1,1,1,None-GI Specialist 1,2,0,1,0,0
P4Test1_02242019,slide1.9,1,2,0,1,1,1,GI Specialist 3,1,1,1,0,0
P4Test1_02242019,slide1.9,1,2,0,1,1,1,GI Specialist 3,1,0,1,0,0
P8Test1_02282019,slide1.9,1,2,0,1,1,1,GI Specialist 1,1,1,1,0,0
P8Test1_02282019,slide1.9,1,2,0,1,1,1,GI Specialist 1,1,0,1,0,0
P9Test1_02242019,slide1.9,1,2,0,1,1,1,Trainee 2,3,1,1,0,0
P9Test1_02242019,slide1.9,1,2,0,1,1,1,Trainee 2,3,0,1,0,0
P2Test2_02182019,slide2.1,0,3,0,1,1,1,Trainee 3,3,1,1,0,0
P6Test2_02262019,slide2.1,0,3,0,1,1,1,None-GI Specialist 4,2,1,1,0,0
P7Test2_02252019,slide2.1,0,3,0,1,1,1,GI Specialist 2,1,1,1,0,0
P7Test2_02252019,slide2.1,0,3,0,1,1,1,GI Specialist 2,1,0,1,0,0
P1Test2_03082019,slide2.4,0,2,0,1,1,1,None-GI Specialist 2,2,1,1,0,0
P1Test2_03082019,slide2.4,0,2,0,1,1,1,None-GI Specialist 2,2,0,1,0,0
P7Test2_02252019,slide2.8,0,2,0,1,1,1,GI Specialist 2,1,1,1,0,0
P7Test2_02252019,slide2.8,0,2,0,1,1,1,GI Specialist 2,1,0,1,0,0
P10Test1_02152019,slide3.5,1,3,0,1,1,1,None-GI Specialist 1,2,1,1,0,0
P10Test1_02152019,slide3.5,1,3,0,1,1,1,None-GI Specialist 1,2,0,1,0,0
P4Test1_02242019,slide3.5,1,3,0,1,1,1,GI Specialist 3,1,1,1,0,0
P4Test1_02242019,slide3.5,1,3,0,1,1,1,GI Specialist 3,1,0,1,0,0
P9Test1_02242019,slide3.5,1,3,0,1,1,1,Trainee 2,3,1,1,0,0
P9Test1_02242019,slide3.5,1,3,0,1,1,1,Trainee 2,3,0,1,0,0
P2Test2_02182019,slide4.2,0,2,0,1,1,1,Trainee 3,3,1,1,0,0
P2Test2_02182019,slide4.2,0,2,0,1,1,1,Trainee 3,3,0,1,0,0
P7Test2_02252019,slide4.2,0,2,0,1,1,1,GI Specialist 2,1,1,1,0,0
P7Test2_02252019,slide4.2,0,2,0,1,1,1,GI Specialist 2,1,0,1,0,0
P1Test2_03082019,slide4.5,0,2,0,1,1,1,None-GI Specialist 2,2,1,1,0,0
P1Test2_03082019,slide4.5,0,2,0,1,1,1,None-GI Specialist 2,2,0,1,0,0
P7Test2_02252019,slide4.5,0,2,0,1,1,1,GI Specialist 2,1,1,1,0,0
P7Test2_02252019,slide4.5,0,2,0,1,1,1,GI Specialist 2,1,0,1,0,0
P7Test2_02252019,slide4.7,0,1,0,1,1,1,GI Specialist 2,1,1,1,0,0
P7Test2_02252019,slide4.7,0,1,0,1,1,1,GI Specialist 2,1,0,1,0,0
P10Test1_02152019,slide5.3,1,2,0,1,1,1,None-GI Specialist 1,2,1,1,0,0
P10Test1_02152019,slide5.3,1,2,0,1,1,1,None-GI Specialist 1,2,0,1,0,0
P9Test1_02242019,slide5.3,1,2,0,1,1,1,Trainee 2,3,1,1,0,0
P9Test1_02242019,slide5.3,1,2,0,1,1,1,Trainee 2,3,0,1,0,0
P1Test2_03082019,slide6.3,0,2,0,1,1,1,None-GI Specialist 2,2,1,1,0,0
P1Test2_03082019,slide6.3,0,2,0,1,1,1,None-GI Specialist 2,2,0,1,0,0
P7Test2_02252019,slide6.3,0,2,0,1,1,1,GI Specialist 2,1,1,1,0,0
P7Test2_02252019,slide6.3,0,2,0,1,1,1,GI Specialist 2,1,0,1,0,0
P10Test1_02152019,slide7.4,1,2,0,1,1,1,None-GI Specialist 1,2,1,1,0,0
P10Test1_02152019,slide7.4,1,2,0,1,1,1,None-GI Specialist 1,2,0,1,0,0
P8Test1_02282019,slide7.4,1,2,0,1,1,1,GI Specialist 1,1,1,1,0,0
P8Test1_02282019,slide7.4,1,2,0,1,1,1,GI Specialist 1,1,0,1,0,0
P10Test1_02152019,slide7.5,1,2,0,1,1,1,None-GI Specialist 1,2,1,1,0,0
P10Test1_02152019,slide7.5,1,2,0,1,1,1,None-GI Specialist 1,2,0,1,0,0
P4Test1_02242019,slide7.5,1,2,0,1,1,1,GI Specialist 3,1,1,1,0,0
P4Test1_02242019,slide7.5,1,2,0,1,1,1,GI Specialist 3,1,0,1,0,0
P9Test1_02242019,slide7.5,1,2,0,1,1,1,Trainee 2,3,1,1,0,0
P9Test1_02242019,slide7.5,1,2,0,1,1,1,Trainee 2,3,0,1,0,0
P9Test1_02242019,slide7.7,1,3,0,1,1,1,Trainee 2,3,1,1,0,0
P9Test1_02242019,slide7.7,1,3,0,1,1,1,Trainee 2,3,0,1,0,0
P1Test2_03082019,slide8.9,0,2,0,1,1,1,None-GI Specialist 2,2,1,1,0,0
P1Test2_03082019,slide8.9,0,2,0,1,1,1,None-GI Specialist 2,2,0,1,0,0
P2Test2_02182019,slide8.9,0,2,0,1,1,1,Trainee 3,3,1,1,0,0
P2Test2_02182019,slide8.9,0,2,0,1,1,1,Trainee 3,3,0,1,0,0
P2Test2_02182019,slide2.1,0,3,0,1,0,1,Trainee 3,3,0,0,1,0
P6Test2_02262019,slide2.1,0,3,0,1,0,1,None-GI Specialist 4,2,0,0,1,0
P3Test1_02212019,slide1.5,1,2,0,1,1,1,None-GI Specialist 3,4,1,1,0,0
P3Test1_02212019,slide1.5,1,2,0,1,1,1,None-GI Specialist 3,4,0,1,0,0
P3Test1_02212019,slide1.9,1,2,0,1,1,1,None-GI Specialist 3,4,1,1,0,0
P3Test1_02212019,slide1.9,1,2,0,1,1,1,None-GI Specialist 3,4,0,1,0,0
P11Test2_02202019,slide2.1,0,3,0,1,1,1,None-GI Specialist 5,4,1,1,0,0
P11Test2_02202019,slide2.1,0,3,0,1,1,1,None-GI Specialist 5,4,0,1,0,0
P11Test2_02202019,slide2.8,0,2,0,1,1,1,None-GI Specialist 5,4,1,1,0,0
P11Test2_02202019,slide2.8,0,2,0,1,1,1,None-GI Specialist 5,4,0,1,0,0
P3Test1_02212019,slide3.5,1,3,0,1,1,1,None-GI Specialist 3,4,1,1,0,0
P3Test1_02212019,slide3.5,1,3,0,1,1,1,None-GI Specialist 3,4,0,1,0,0
P11Test2_02202019,slide6.3,0,2,0,1,1,1,None-GI Specialist 5,4,1,1,0,0
P11Test2_02202019,slide6.3,0,2,0,1,1,1,None-GI Specialist 5,4,0,1,0,0
P3Test1_02212019,slide7.5,1,2,0,1,1,1,None-GI Specialist 3,4,1,1,0,0
P3Test1_02212019,slide7.5,1,2,0,1,1,1,None-GI Specialist 3,4,0,1,0,0
P3Test1_02212019,slide7.7,1,3,0,1,1,1,None-GI Specialist 3,4,1,1,0,0
P3Test1_02212019,slide7.7,1,3,0,1,1,1,None-GI Specialist 3,4,0,1,0,0
P11Test2_02202019,slide8.10,0,2,0,1,1,1,None-GI Specialist 5,4,1,1,0,0
P11Test2_02202019,slide8.10,0,2,0,1,1,1,None-GI Specialist 5,4,0,1,0,0
P1Test2_03082019,slide2.1,0,3,0.0000001189999992,0.9999998808,1,1,None-GI Specialist 2,2,1,1,0,0
P1Test2_03082019,slide2.1,0,3,0.0000001189999992,0.9999998808,1,1,None-GI Specialist 2,2,0,1,0,0
P8Test1_02282019,slide3.5,1,3,0.0000001189999992,0.9999998808,1,1,GI Specialist 1,1,1,1,0,0
P8Test1_02282019,slide3.5,1,3,0.0000001189999992,0.9999998808,1,1,GI Specialist 1,1,0,1,0,0
P1Test2_03082019,slide4.2,0,2,0.0000001189999992,0.9999998808,1,1,None-GI Specialist 2,2,1,1,0,0
P1Test2_03082019,slide4.2,0,2,0.0000001189999992,0.9999998808,1,1,None-GI Specialist 2,2,0,1,0,0
P2Test2_02182019,slide4.5,0,2,0.0000001189999992,0.9999998808,1,1,Trainee 3,3,1,1,0,0
P2Test2_02182019,slide4.5,0,2,0.0000001189999992,0.9999998808,1,1,Trainee 3,3,0,1,0,0
P10Test1_02152019,slide3.1,1,3,0.0000001189999992,0.9999998808,1,0,None-GI Specialist 1,2,1,0,2,1
P10Test1_02152019,slide3.1,1,3,0.0000001189999992,0.9999998808,1,0,None-GI Specialist 1,2,0,0,2,1
P11Test2_02202019,slide4.5,0,2,0.0000001189999992,0.9999998808,1,1,None-GI Specialist 5,4,1,1,0,0
P11Test2_02202019,slide4.5,0,2,0.0000001189999992,0.9999998808,1,1,None-GI Specialist 5,4,0,1,0,0
P3Test1_02212019,slide7.4,1,2,0.0000001189999992,0.9999998808,1,1,None-GI Specialist 3,4,1,1,0,0
P3Test1_02212019,slide7.4,1,2,0.0000001189999992,0.9999998808,1,1,None-GI Specialist 3,4,0,1,0,0
